date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:15	40396/40396	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:15%20GMT	https://nz.talent.com/tax-calculator	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/tax-calculator.html	(from )
13:50:15	200/200	---M-Z	200	added ('OK')	text/plain	date:Sun,%2020%20Jun%202021%2001:50:15%20GMT	https://nz.talent.com/robots.txt		(from )
13:50:16	12226/12226	---M--	200	added ('OK')	image/png	etag:%222fc2-5c2c5fbd48c98%22	https://www.talent.com/public/assets/img/talent_meta_img.png	C:/My%20Web%20Sites/Tax%20Calc/www.talent.com/public/assets/img/talent_meta_img.png	(from https://nz.talent.com/tax-calculator)
13:50:16	530/530	---M--	200	added ('OK')	image/png	etag:%222f84da3752afca9d3cacdc6ef31f8834%22	https://cdn-static.talent.com/img/ico/favicon-32x32.png	C:/My%20Web%20Sites/Tax%20Calc/cdn-static.talent.com/img/ico/favicon-32x32.png	(from https://nz.talent.com/tax-calculator)
13:50:17	48587/48587	---M-Z	200	added ('OK')	text/css	etag:%22bdcb-5c4ded9a768bb-gzip%22	https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/css/default4527.css	(from https://nz.talent.com/tax-calculator)
13:50:17	12942/12942	---M-Z	200	added ('OK')	text/css	etag:%22328e-5c2c5fbd45db8-gzip%22	https://nz.talent.com/public/assets/css/page-tax-calculator/page-tax-calculator.css?v=2021-06-Sat:09:001	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/css/page-tax-calculator/page-tax-calculator4527.css	(from https://nz.talent.com/tax-calculator)
13:50:17	89476/89476	---M--	200	added ('OK')	application/javascript	etag:%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://cdn-static.talent.com/libs/js/jquery/3.5.1/jquery.min.js	C:/My%20Web%20Sites/Tax%20Calc/cdn-static.talent.com/libs/js/jquery/3.5.1/jquery.min.js	(from https://nz.talent.com/tax-calculator)
13:50:17	13097/13097	---M--	200	added ('OK')	application/javascript	etag:%2298124b34236766b0da6e5f1f1a9cc740%22	https://cdn-static.talent.com/libs/js/jquery-autocomplete/1.4.11/jquery.autocomplete.min.js	C:/My%20Web%20Sites/Tax%20Calc/cdn-static.talent.com/libs/js/jquery-autocomplete/1.4.11/jquery.autocomplete.min.js	(from https://nz.talent.com/tax-calculator)
13:50:18	22771/22771	---M--	200	added ('OK')	application/javascript	etag:%22e29fd2104d6aa26d004add66c7f0713f%22	https://cdn-static.talent.com/libs/js/css-vars-ponyfill/2.4.2/css-vars-ponyfill.min.js	C:/My%20Web%20Sites/Tax%20Calc/cdn-static.talent.com/libs/js/css-vars-ponyfill/2.4.2/css-vars-ponyfill.min.js	(from https://nz.talent.com/tax-calculator)
13:50:18	58862/58862	---M--	200	added ('OK')	application/javascript	etag:%225c158b940513c7dc2ebd901455e9b63d%22	https://cdn-static.talent.com/libs/js/moment/2.29.1/moment.min.js	C:/My%20Web%20Sites/Tax%20Calc/cdn-static.talent.com/libs/js/moment/2.29.1/moment.min.js	(from https://nz.talent.com/tax-calculator)
13:50:18	226496/226496	---M--	200	added ('OK')	application/javascript	etag:%222ef089205edd1cf2c7953f54ceca8670%22	https://cdn-static.talent.com/libs/js/chart/2.9.4/Chart.bundle.min.js	C:/My%20Web%20Sites/Tax%20Calc/cdn-static.talent.com/libs/js/chart/2.9.4/Chart.bundle.min.js	(from https://nz.talent.com/tax-calculator)
13:50:18	13748/13748	---M--	200	added ('OK')	application/javascript	etag:%22d25f937602d2415c11f920ca6994eeff%22	https://cdn-static.talent.com/libs/js/chartjs-plugin-annotation/0.5.7/chartjs-plugin-annotation.min.js	C:/My%20Web%20Sites/Tax%20Calc/cdn-static.talent.com/libs/js/chartjs-plugin-annotation/0.5.7/chartjs-plugin-annotation.min.js	(from https://nz.talent.com/tax-calculator)
13:50:19	136673/136673	---M-Z	200	added ('OK')	application/javascript	etag:%22215e1-5c4ded9a95cb9-gzip%22	https://nz.talent.com/public/assets/js/common.js?v=2021-06-Sat:09:001	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/js/common4527.js	(from https://nz.talent.com/tax-calculator)
13:50:20	4231/4231	---M-Z	200	added ('OK')	application/javascript	etag:%221087-5c2c5fbd49c38-gzip%22	https://nz.talent.com/public/assets/js/page-tax-salary/tax-salary.js?v=2021-06-Sat:09:001	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/js/page-tax-salary/tax-salary4527.js	(from https://nz.talent.com/tax-calculator)
13:50:20	20236/20236	---M-Z	200	added ('OK')	application/javascript	etag:%224f0c-5c2c5fbd49c38-gzip%22	https://nz.talent.com/public/assets/js/hyper.js	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/js/hyper.js	(from https://nz.talent.com/tax-calculator)
13:50:20	7525/7525	---M--	200	added ('OK')	image/png	etag:%2218dddc6e6c916478639e1c68594758b6%22	https://cdn-static.talent.com/img/common/talent_logo_purple_220.png	C:/My%20Web%20Sites/Tax%20Calc/cdn-static.talent.com/img/common/talent_logo_purple_220.png	(from https://nz.talent.com/tax-calculator)
13:50:20	39757/39757	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:20%20GMT	https://nz.talent.com/jobs	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/jobs.html	(from https://nz.talent.com/tax-calculator)
13:50:21	29698/29698	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:20%20GMT	https://nz.talent.com/	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/index.html	(from https://nz.talent.com/tax-calculator)
13:50:21	214746/214746	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:21%20GMT	https://nz.talent.com/salary	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/salary.html	(from https://nz.talent.com/tax-calculator)
13:50:21	43/43	---MC-	200	added ('OK')	image/gif	date:Sun,%2020%20Jun%202021%2001:50:21%20GMT	https://nz.talent.com/pix/ga.php?	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/pix/gad41d.gif	(from https://nz.talent.com/tax-calculator)
13:50:22	31767/31767	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:21%20GMT	https://nz.talent.com/for-employers	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/for-employers.html	(from https://nz.talent.com/tax-calculator)
13:50:23	838/838	---M--	200	added ('OK')	image/png	etag:%22141e174a0e69be3bd0004aab8a07c986%22	https://cdn-static.talent.com/img/tax-calculator/input__salary-icon.png	C:/My%20Web%20Sites/Tax%20Calc/cdn-static.talent.com/img/tax-calculator/input__salary-icon.png	(from https://nz.talent.com/tax-calculator)
13:50:23	52233/52233	---M--	200	added ('OK')	image/png	etag:%22b9fd1405821d90891eca49860cb1b3bd%22	https://cdn-static.talent.com/img/tax-calculator/icon__main-header.png	C:/My%20Web%20Sites/Tax%20Calc/cdn-static.talent.com/img/tax-calculator/icon__main-header.png	(from https://nz.talent.com/tax-calculator)
13:50:23	381/381	---M--	200	added ('OK')	image/png	etag:%225a23bf982f03d770bc616b436649a779%22	https://cdn-static.talent.com/img/tax-calculator/btn_left-arrow.png	C:/My%20Web%20Sites/Tax%20Calc/cdn-static.talent.com/img/tax-calculator/btn_left-arrow.png	(from https://nz.talent.com/tax-calculator)
13:50:23	379/379	---M--	200	added ('OK')	image/png	etag:%22d25e4f3c5b52bba5a1b9acfd1de1eae3%22	https://cdn-static.talent.com/img/tax-calculator/btn_right-arrow.png	C:/My%20Web%20Sites/Tax%20Calc/cdn-static.talent.com/img/tax-calculator/btn_right-arrow.png	(from https://nz.talent.com/tax-calculator)
13:50:24	11596/11596	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:23%20GMT	https://nz.talent.com/ajax/taxcal/best-of-countries.php?country=nz&language=en&salary=50000&continent=Europe	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/ajax/taxcal/best-of-countries3a54.html	(from https://nz.talent.com/tax-calculator)
13:50:24	450184/450184	---M--	200	added ('OK')	application/x-javascript	etag:%226de88-60c67263-f38a18eb74a810eb;;;%22	https://acsbapp.com/apps/app/dist/js/app.js	C:/My%20Web%20Sites/Tax%20Calc/acsbapp.com/apps/app/dist/js/app.js	(from https://nz.talent.com/tax-calculator)
13:50:24	8225/8225	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:24%20GMT	https://nz.talent.com/ajax/taxcal/best-of-countries.php?country=nz&language=en&salary=50000&continent=Asia-Pacific	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/ajax/taxcal/best-of-countriesde33.html	(from https://nz.talent.com/tax-calculator)
13:50:24	6273/6273	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:24%20GMT	https://nz.talent.com/ajax/taxcal/best-of-countries.php?country=nz&language=en&salary=50000&continent=Africa	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/ajax/taxcal/best-of-countries3a24.html	(from https://nz.talent.com/tax-calculator)
13:50:25	5309/5309	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:24%20GMT	https://nz.talent.com/ajax/taxcal/best-of-countries.php?country=nz&language=en&salary=50000&continent=MiddleEast	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/ajax/taxcal/best-of-countries6350.html	(from https://nz.talent.com/tax-calculator)
13:50:25	40485/40485	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:25%20GMT	https://nz.talent.com/tax-calculator/New+Zealand-10000	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/tax-calculator/New+Zealand-10000.html	(from https://nz.talent.com/tax-calculator)
13:50:25	40487/40487	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:25%20GMT	https://nz.talent.com/tax-calculator/New+Zealand-20000	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/tax-calculator/New+Zealand-20000.html	(from https://nz.talent.com/tax-calculator)
13:50:26	40492/40492	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:25%20GMT	https://nz.talent.com/tax-calculator/New+Zealand-30000	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/tax-calculator/New+Zealand-30000.html	(from https://nz.talent.com/tax-calculator)
13:50:26	40488/40488	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:26%20GMT	https://nz.talent.com/tax-calculator/New+Zealand-40000	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/tax-calculator/New+Zealand-40000.html	(from https://nz.talent.com/tax-calculator)
13:50:26	40488/40488	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:26%20GMT	https://nz.talent.com/tax-calculator/New+Zealand-50000	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/tax-calculator/New+Zealand-50000.html	(from https://nz.talent.com/tax-calculator)
13:50:27	40495/40495	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:26%20GMT	https://nz.talent.com/tax-calculator/New+Zealand-60000	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/tax-calculator/New+Zealand-60000.html	(from https://nz.talent.com/tax-calculator)
13:50:27	40501/40501	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:27%20GMT	https://nz.talent.com/tax-calculator/New+Zealand-70000	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/tax-calculator/New+Zealand-70000.html	(from https://nz.talent.com/tax-calculator)
13:50:27	40504/40504	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:27%20GMT	https://nz.talent.com/tax-calculator/New+Zealand-80000	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/tax-calculator/New+Zealand-80000.html	(from https://nz.talent.com/tax-calculator)
13:50:28	40506/40506	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:27%20GMT	https://nz.talent.com/tax-calculator/New+Zealand-90000	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/tax-calculator/New+Zealand-90000.html	(from https://nz.talent.com/tax-calculator)
13:50:28	40563/40563	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:28%20GMT	https://nz.talent.com/tax-calculator/New+Zealand-100000	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/tax-calculator/New+Zealand-100000.html	(from https://nz.talent.com/tax-calculator)
13:50:28	40564/40564	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:28%20GMT	https://nz.talent.com/tax-calculator/New+Zealand-110000	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/tax-calculator/New+Zealand-110000.html	(from https://nz.talent.com/tax-calculator)
13:50:29	40565/40565	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:28%20GMT	https://nz.talent.com/tax-calculator/New+Zealand-120000	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/tax-calculator/New+Zealand-120000.html	(from https://nz.talent.com/tax-calculator)
13:50:29	40565/40565	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:29%20GMT	https://nz.talent.com/tax-calculator/New+Zealand-130000	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/tax-calculator/New+Zealand-130000.html	(from https://nz.talent.com/tax-calculator)
13:50:29	40559/40559	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:29%20GMT	https://nz.talent.com/tax-calculator/New+Zealand-140000	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/tax-calculator/New+Zealand-140000.html	(from https://nz.talent.com/tax-calculator)
13:50:30	40559/40559	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:29%20GMT	https://nz.talent.com/tax-calculator/New+Zealand-150000	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/tax-calculator/New+Zealand-150000.html	(from https://nz.talent.com/tax-calculator)
13:50:30	40559/40559	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:30%20GMT	https://nz.talent.com/tax-calculator/New+Zealand-160000	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/tax-calculator/New+Zealand-160000.html	(from https://nz.talent.com/tax-calculator)
13:50:30	40561/40561	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:30%20GMT	https://nz.talent.com/tax-calculator/New+Zealand-170000	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/tax-calculator/New+Zealand-170000.html	(from https://nz.talent.com/tax-calculator)
13:50:31	40562/40562	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:31%20GMT	https://nz.talent.com/tax-calculator/New+Zealand-180000	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/tax-calculator/New+Zealand-180000.html	(from https://nz.talent.com/tax-calculator)
13:50:31	40565/40565	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:31%20GMT	https://nz.talent.com/tax-calculator/New+Zealand-190000	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/tax-calculator/New+Zealand-190000.html	(from https://nz.talent.com/tax-calculator)
13:50:31	40565/40565	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:31%20GMT	https://nz.talent.com/tax-calculator/New+Zealand-200000	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/tax-calculator/New+Zealand-200000.html	(from https://nz.talent.com/tax-calculator)
13:50:32	40211/40211	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jun%202021%2001:50:32%20GMT	https://nz.talent.com/ats	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/ats.html	(from https://nz.talent.com/tax-calculator)
